Gene	Ribohits.Binary	Abundance	ISD.0.iupred2	ISD.grafted.iupred2	ISD.grafted.sqrt	ISD.ORF.iupred2	ISD.Last10.iupred2	ISD.3UTR.iupred2	Length.0	Length.m1	Length.m2	Disorder.prop.0	RSA.hydrophilicity.0	Length.3UTR	Fragile
YKR091W	1	1.36	0.1315	0.113265	0.30659557490962	0.567338211382114	0.3569	0.1017	16	2	29	0.299533333333333	0.2306	129	0
YKR092C	1	172	0.2501	0.1676175	0.392004466106899	0.768429556650246	0.4286	0.3578	25	3	18	0.351541666666667	0.270958333333333	246	0
YKR093W	1	19.2	0.0641	0.19584	0.379473592531091	0.130908319467554	0.248	0.0046	3	15	5	0.1315	0.122	201	0
YKR094C	1	638	0.0354	0.030945	0.158303154120616	0.3471578125	0.5946	0.0249	30	36	54	0.281034482758621	0.219344827586207	187	0
YKR095W-A	1	8.66	0.0863	0.2241825	0.428954187839738	0.251469318181818	0.1087	0.0415	7	3	2	0.348	0.235333333333333	122	0
YKR096W	1	4.19	0.0468	0.0545925	0.214633504870201	0.283535481171548	0.2226	0.0476	31	19	18	0.2748	0.203566666666667	111	0
YKR097W	0	139	NA	NA	NA	0.250701092896175	0.3899	0.1791	NA	NA	NA	NA	NA	32	1
YKR098C	0	1.22	0.0137	0.02532	0.144467416973757	0.241025244072524	0.2295	0.0137	27	6	14	0.274615384615385	0.220307692307692	83	0
YKR099W	1	10.6	0.5045	0.30848	0.543555734303292	0.621362638717633	0.849	0.1932	17	20	15	0.43025	0.3015625	109	0
YKR100C	1	10.5	0.259	0.172755	0.351866046144177	0.543802816901409	0.5141	0.0601	3	6	11	0.0565	0.144	462	0
YKR101W	1	1.71	0.0506	0.1280475	0.323901224341714	0.153229051987768	0.0914	0.0179	16	4	2	0.339866666666667	0.2306	233	0
YLL001W	1	134	0.0446	0.3046175	0.515889381344892	0.282869749009247	0.0234	0.0086	8	3	17	0.363	0.245571428571429	168	0
YLL002W	0	12.6	0.0145	0.026765	0.126473159983536	0.182188302752294	0.5186	0.0064	8	NA	4	0.112142857142857	0.138571428571429	75	1
YLL003W	0	6.25	0.0849	0.02417	0.132021655262786	0.212209830866808	0.8259	0.0539	13	NA	21	0.173166666666667	0.16325	61	1
YLL004W	1	0.755	0.0511	0.330755	0.550307970260388	0.14442775974026	0.0245	0.0909	9	8	2	0.34625	0.300625	76	0
YLL006W	1	22.2	0.097	0.1152175	0.334264710187713	0.234934976525822	0.6876	0.0673	45	26	39	0.347954545454545	0.219227272727273	454	0
YLL008W	0	49	NA	NA	NA	0.432342553191489	0.8654	0.0653	1	NA	21	NA	NA	112	1
YLL009C	0	68.5	0.3288	0.2694775	0.463500514698767	0.252055072463768	0.2621	0.0603	3	22	NA	0.413	0.2325	119	1
YLL010C	1	57.3	NA	NA	NA	0.503379391100703	0.0398	0.0534	1	70	50	NA	NA	348	0
YLL011W	0	114	NA	NA	NA	0.38631308793456	0.8138	0.0536	NA	22	20	NA	NA	82	1
YLL012W	1	72.6	0.0535	0.15131	0.344574984914241	0.155795287958115	0.39	0.0134	10	7	5	0.301888888888889	0.223555555555556	88	0
YLL013C	1	51.7	3e-04	0.0009175	0.0272576031750518	0.468486120591581	0.1192	0.0023	44	38	2	0.262627906976744	0.17946511627907	396	0
YLL014W	1	13.8	0.0039	0.0901225	0.273520583342993	0.0185018518518519	0.0028	0.0023	20	3	11	0.313947368421053	0.253473684210526	143	0
YLL018C	0	628	0.0531	0.0424575	0.190736354356293	0.288941292639138	0.4576	0.0522	41	12	10	0.350125	0.233225	135	0
YLL018C-A	1	67.8	0.3681	0.300585	0.535962079258747	0.499476530612245	0.7832	0.1118	15	11	9	0.451571428571429	0.283428571428571	616	0
YLL022C	1	56.9	NA	NA	NA	0.506275844155844	0.5868	0.047	1	7	5	NA	NA	57	0
YLL023C	1	39.4	0.0097	0.05727	0.206422148791432	0.0725695340501792	0.2832	0.0041	17	13	43	0.348	0.203	142	0
YLL024C	1	9666	0.8493	0.3168875	0.507028652471518	0.401017057902973	0.9422	0.1175	2	7	22	0.45	0.218	133	0
YLL025W	1	1.59	0.0969	0.1667775	0.371754252967846	0.148439516129032	0.1871	0.0096	13	18	3	0.38875	0.258583333333333	237	0
YLL026W	1	681	0.2314	0.15152	0.32643155313586	0.309039207048458	0.7262	0.1128	5	2	4	0.18875	0.1865	38	0
YLL027W	0	22.4	0.04	0.0950225	0.292931030088392	0.3893396	0.2293	0.0382	31	NA	8	0.3511	0.2392	107	1
YLL028W	1	49.1	0.0103	0.0650125	0.24254984657741	0.155109044368601	0.0127	0.0654	37	32	35	0.364	0.247944444444444	392	0
YLL029W	1	45.7	0.027	0.0444525	0.188317426910921	0.243834045393858	0.1814	0.0237	24	18	11	0.315260869565217	0.207173913043478	105	0
YLL031C	0	17.2	0.0022	0.0401225	0.177741344439485	0.084801179941003	0.0057	0.0024	21	NA	20	0.2883	0.2172	92	1
YLL033W	1	NA	0.267	0.3322425	0.539387550699446	0.151412608695652	0.0778	0.0117	5	14	42	0.50375	0.266	533	0
YLL034C	1	71	0.3887	0.1955775	0.384400482182524	0.351644205495818	0.6442	0.0334	4	3	17	0.263666666666667	0.252666666666667	150	0
YLL035W	0	0.146	0.0191	0.0262375	0.148290748157918	0.229968670886076	0.3371	0.0169	42	14	5	0.300707317073171	0.227439024390244	137	0
YLL036C	1	114	0.1023	0.276815	0.47228345614087	0.249617495029821	0.1612	0.0472	3	14	11	0.242	0.243	59	0
YLL038C	1	29.7	0.7036	0.2130225	0.389088389651208	0.452125101214575	0.6404	0.2012	2	33	67	0.117	0.136	539	0
YLL039C	1	197	0.0039	0.006125	0.0686818643069543	0.346138320209974	0.2711	0.0044	27	32	35	0.272423076923077	0.178	118	0
YLL041C	1	182	0.2313	0.333335	0.571479408149961	0.158271052631579	0.066	0.0417	45	7	64	0.421977272727273	0.274431818181818	367	0
YLL043W	1	19.2	0.8167	0.71864	0.845086401708549	0.410366068759342	0.642	0.182	13	10	12	0.478583333333333	0.349416666666667	167	0
YLL045C	1	3049	0.3553	0.208445	0.395187918457	0.336921484375	0.5689	0.0316	4	10	12	0.146333333333333	0.173	76	0
YLL050C	1	699	0.5924	0.389505	0.586724253472025	0.220767832167832	0.382	0.1283	3	2	15	0.5125	0.3575	123	0
YLL051C	1	2.23	0.1099	0.2482075	0.477842137661133	0.0812426966292135	0.0342	0.0454	21	8	39	0.43295	0.24505	187	0
YLL055W	0	2.4	NA	NA	NA	0.0520687382297552	0.0477	0.0062	NA	12	3	NA	NA	37	1
YLL060C	1	2.66	0.0924	0.1513225	0.366232406056939	0.212275965665236	0.3207	0.1427	21	16	5	0.38755	0.27	221	0
YLL061W	1	4.03	0.006	0.188365	0.392261889362502	0.0636001715265866	0.0049	0.0136	11	2	8	0.3261	0.2351	54	0
YLL062C	1	8.9	0.019	0.0988875	0.250374714092276	0.185647222222222	0.2262	0.0341	5	14	63	0.159	0.1875	530	0
YLL063C	0	1.43	NA	NA	NA	0.23559029535865	0.1678	0.0146	1	14	4	NA	NA	43	0
YLR002C	1	118	0.2441	0.2084325	0.401547173092126	0.340655203619909	0.4011	0.1298	6	9	2	0.361	0.2334	66	0
YLR004C	0	1.26	NA	NA	NA	0.078195793499044	0.0384	0.0258	1	5	10	NA	NA	73	0
YLR005W	1	33.2	0.2232	0.31895	0.53390621750468	0.248452711496746	0.0274	0.0728	7	27	20	0.489	0.274833333333333	218	0
YLR006C	1	16.9	0.0875	0.095615	0.283142529759683	0.455503792134831	0.5857	0.03	20	14	7	0.308842105263158	0.241368421052632	80	0
YLR007W	0	0.167	NA	NA	NA	0.115222023809524	0.034	0.0238	NA	2	NA	NA	NA	64	1
YLR008C	1	43.5	0.5228	0.490475	0.683987250659821	0.381940476190476	0.3083	0.0586	6	2	17	0.4528	0.3056	271	0
YLR009W	1	1.87	0.2306	0.1016325	0.291456922359214	0.384638693467337	0.3877	0.0972	21	7	2	0.3466	0.23765	129	0
YLR010C	0	1.57	0.033	0.1358975	0.32747808027324	0.07148625	0.0931	0.0364	11	8	NA	0.3171	0.235	111	1
YLR011W	1	14.2	0.3902	0.3150825	0.547241309419558	0.154651308900524	0.1735	0.0847	12	5	3	0.350454545454545	0.291818181818182	295	0
YLR015W	1	14.1	0.291	0.3527075	0.576910549995138	0.328766732673267	0.1411	0.0353	12	9	8	0.399727272727273	0.273090909090909	173	0
YLR016C	1	14.9	0.017	0.0757825	0.248707389678858	0.288007843137255	0.1145	0.0124	23	12	4	0.334545454545455	0.222045454545455	100	0
YLR017W	1	141	0.0058	0.045965	0.175279750688884	0.244101483679525	0.0822	0.0165	10	8	5	0.250222222222222	0.191222222222222	81	0
YLR018C	0	26.2	0.8339	0.44259	0.645413960473767	0.352823076923077	0.6045	0.0587	7	32	26	0.480166666666667	0.347833333333333	99	0
YLR019W	1	1.42	0.0755	0.3207775	0.523501012899851	0.505128463476071	0.0835	0.0141	4	6	43	0.489333333333333	0.255666666666667	255	0
YLR020C	1	21.8	0.027	0.0610525	0.205734283728483	0.209250371747212	0.3	0.0194	11	2	14	0.3523	0.2112	176	0
YLR021W	0	16.5	0.0137	0.13802	0.309216698342144	0.281759217877095	0.0215	0.0079	5	NA	4	0.15125	0.1975	49	1
YLR022C	1	219	0.1476	0.15811	0.325341543427364	0.2706844	0.3613	0.0552	3	15	12	0.1035	0.1305	61	0
YLR023C	1	1.11	0.0049	0.1814425	0.367779105524706	0.17409650092081	0.007	0.1209	4	3	96	0.174666666666667	0.238666666666667	407	0
YLR025W	1	65.6	0.4531	0.23511	0.450280351018939	0.583168333333333	0.714	0.0754	8	7	36	0.33	0.238285714285714	131	0
YLR026C	1	16.9	0.0058	0.0662825	0.242663246230335	0.448365588235294	8e-04	0.0074	27	4	12	0.325461538461538	0.243653846153846	108	0
YLR027C	1	404	NA	NA	NA	0.199074401913876	0.0403	0.0187	1	4	3	NA	NA	62	0
YLR028C	0	245	0.0183	0.120885	0.285473467121408	0.210289847715736	0.0511	0.0512	6	NA	2	0.2196	0.1742	95	1
YLR029C	1	1414	0.1986	0.3554475	0.551869906616684	0.417753431372549	0.3003	0.0044	3	17	26	0.4435	0.2435	134	0
YLR032W	0	15.3	NA	NA	NA	0.287323096663815	0.3077	0.0078	NA	8	NA	NA	NA	53	1
YLR033W	1	402	0.1917	0.161665	0.374621666386901	0.326748207171315	0.7093	0.0666	18	12	2	0.399117647058824	0.241941176470588	199	0
YLR034C	1	11.5	0.0016	0.0065575	0.0756107377107236	0.025438266384778	0.0036	0.0113	35	45	25	0.280558823529412	0.200970588235294	159	0
YLR035C	0	4.27	NA	NA	NA	0.316856690647482	0.3244	0.0117	1	65	12	NA	NA	265	0
YLR037C	1	1.67	0.1367	0.212265	0.418978812747426	0.151913709677419	0.2309	0.0604	9	18	24	0.313375	0.223875	150	0
YLR038C	1	132	0.3323	0.3938125	0.589592980838957	0.232703614457831	0.4139	0.115	3	12	60	0.575	0.2735	316	0
YLR043C	0	367	NA	NA	NA	0.131743689320388	0.1542	0.0105	NA	18	5	NA	NA	93	1
YLR044C	1	8823	0.295	0.241695	0.429350829990021	0.195226642984014	0.4635	0.0141	3	8	6	0.27	0.1715	76	0
YLR045C	1	31.9	0.8291	0.4036825	0.608031613962018	0.341698873873874	0.749	0.4272	6	8	3	0.564	0.2684	141	0
YLR047C	1	1.38	0.0857	0.2382125	0.442119096283111	0.174875364431487	0.2076	0.0114	7	30	10	0.409	0.2535	437	0
YLR048W	1	1479	0.1405	0.143915	0.346954603607949	0.288313095238095	0.5758	0.0367	15	3	10	0.315142857142857	0.232	220	0
YLR051C	1	44.1	0.233	0.1086775	0.289832730221223	0.530421198156682	0.7092	0.1054	12	2	16	0.292727272727273	0.223090909090909	100	0
YLR052W	1	38.2	0.0296	0.08049	0.262198479417726	0.4210476	0.2366	0.0105	22	4	6	0.305047619047619	0.22752380952381	689	0
YLR056W	0	368	0.146	0.104555	0.295190311917099	0.0881791780821918	0.7358	0.047	23	41	35	0.377545454545455	0.238045454545455	128	0
YLR058C	1	1096	0.5207	0.63303	0.786251189859693	0.260308955223881	0.0857	0.0789	8	13	18	0.327142857142857	0.317285714285714	148	0
YLR059C	1	64.8	0.5681	0.4735275	0.677428794563047	0.290904460966543	0.6615	0.2312	10	2	27	0.479555555555556	0.388777777777778	183	0
YLR060W	1	555	0.0142	0.1038775	0.285157450229376	0.228531428571429	0.0182	0.0098	12	2	5	0.267454545454545	0.227	100	0
YLR061W	1	1365	0.8967	0.285035	0.477541675846301	0.309667768595041	0.7121	0.0951	3	7	11	0.1745	0.197	92	0
YLR064W	1	51.7	0.0027	0.161645	0.35001585732715	0.0141677655677656	0.0032	0.0211	8	5	20	0.268	0.235714285714286	85	0
YLR066W	0	78.5	0.0573	0.0847675	0.25275840034732	0.109548913043478	0.2596	0.0063	10	2	NA	0.291	0.200222222222222	94	1
YLR067C	1	11.9	0.0189	0.09544	0.258613034898605	0.105492020725389	0.1626	0.2204	8	20	19	0.200428571428571	0.199428571428571	78	0
YLR068W	1	27.8	0.0536	0.0134625	0.103163338831132	0.603415894039735	0.4943	0.0154	24	21	2	0.260652173913044	0.21004347826087	110	0
YLR069C	1	91.9	0.6007	0.541575	0.727572109506525	0.282126806833114	0.3831	0.2594	16	12	11	0.478866666666667	0.289333333333333	134	0
YLR071C	0	10	0.7056	0.414025	0.608722741782102	0.224135767097967	0.3787	0.1838	3	NA	16	0.747	0.3445	139	1
YLR073C	0	6.41	0.0515	0.059085	0.206311617776007	0.242727	0.3334	0.029	15	NA	23	0.3715	0.226785714285714	78	1
YLR074C	1	109	0.8162	0.3760525	0.56766238527244	0.463392168674699	0.6889	0.42	2	4	17	0.665	0.364	66	0
YLR075W	1	2660	0.0409	0.1527125	0.33676907869455	0.246231221719457	0.206	0.0053	8	10	7	0.271714285714286	0.232857142857143	142	0
YLR077W	1	4.76	0.2173	0.2527725	0.485990169252314	0.245897941680961	0.1956	0.1073	20	6	10	0.433947368421053	0.280894736842105	172	0
YLR078C	1	9.18	0.0059	0.3488	0.542362545322007	0.380614344262295	0.0025	0.0192	2	10	9	0.588	0.446	76	0
YLR079W	1	9.47	0.096	0.04995	0.206102753325002	0.688928873239437	0.6124	0.0454	27	3	46	0.319961538461538	0.254192307692308	155	0
YLR080W	0	2.83	0.0043	0.0563225	0.197326839380027	0.225281756756757	0.0179	0.0103	12	NA	NA	0.304727272727273	0.208545454545455	82	1
YLR081W	1	1.45	0.0112	0.19584	0.379473592531091	0.0972094076655052	0.0655	0.0049	3	5	16	0.1315	0.122	89	0
YLR082C	1	12.4	0.2578	0.304795	0.541766523703068	0.36686887755102	0.1196	0.0382	33	16	2	0.43890625	0.2729375	348	0
YLR083C	1	38.7	0.0086	0.0586575	0.230200453105473	0.113121589205397	0.0032	0.0032	37	25	12	0.338277777777778	0.240083333333333	160	0
YLR084C	1	42.9	0.0105	0.045535	0.1796738105255	0.192335491803279	0.338	0.074	13	9	7	0.25375	0.218916666666667	90	0
YLR085C	0	8.88	NA	NA	NA	0.18674200913242	0.0695	0.129	NA	7	2	NA	NA	102	1
YLR086W	1	12	0.0806	0.248785	0.44125196222633	0.399312764456982	0.328	0.057	4	39	2	0.374333333333333	0.218	368	0
YLR088W	1	11.6	0.0791	0.2406825	0.476472085088524	0.0947390879478828	0.2169	0.0835	35	7	5	0.418764705882353	0.260941176470588	171	0
YLR090W	1	86.1	0.0713	0.2961925	0.499363225112144	0.308625054466231	0.2625	0.0023	4	15	26	0.309333333333333	0.265333333333333	99	0
YLR091W	1	2.71	0.0135	0.0741125	0.216298759132797	0.193135494880546	0.221	0.1532	9	36	22	0.2955	0.185625	265	0
YLR093C	1	38.8	0.2218	0.4171875	0.640381124051621	0.21919209486166	0.0029	0.0662	31	3	2	0.412566666666667	0.301533333333333	212	0
YLR094C	0	11.4	NA	NA	NA	0.427216334661355	0.1014	0.0432	1	32	NA	NA	NA	118	1
YLR095C	0	72	0.7435	0.3497275	0.568677351591967	0.383348522167488	0.8373	0.3823	11	NA	4	0.4583	0.2668	57	1
YLR097C	0	2.52	0.0049	0.0105525	0.0891933295832823	0.147618895348837	0.1493	0.0189	19	16	NA	0.228666666666667	0.200222222222222	108	1
YLR098C	0	5.64	0.5992	0.3533125	0.545728731775002	0.21415987654321	0.2508	0.0993	2	10	4	0.713	0.278	144	0
YLR099C	0	1.74	NA	NA	NA	0.198955076142132	0.07	0.1297	NA	4	6	NA	NA	45	1
YLR100W	0	82.5	NA	NA	NA	0.0988945244956772	0.3249	0.0044	NA	NA	21	NA	NA	81	1
YLR103C	0	17.8	NA	NA	NA	0.238295230769231	0.0708	0.0244	NA	19	7	NA	NA	77	1
YLR105C	0	5.23	NA	NA	NA	0.218846949602122	0.1468	0.0324	NA	4	7	NA	NA	88	1
YLR107W	1	2.41	0.4208	0.307355	0.521057111825012	0.18817797029703	0.3269	0.054	7	2	26	0.355666666666667	0.2505	105	0
YLR109W	1	3903	0.0821	0.2812	0.492988868772921	0.191777272727273	0.1848	0.1207	7	4	13	0.305	0.245666666666667	69	0
YLR110C	1	2331	0.0704	0.3600675	0.553524870763015	0.372645112781955	0.1136	0.007	2	14	20	0.401	0.272	85	0
YLR113W	0	173	0.0821	0.0636725	0.243136104680271	0.226722528735632	0.4126	0.1347	41	5	34	0.34725	0.244825	135	0
YLR114C	1	79.9	0.2803	0.131655	0.352494379400894	0.432098952879581	0.6918	0.0783	28	51	7	0.316481481481481	0.24037037037037	396	0
YLR115W	1	39	0.2523	0.3586925	0.572900454675021	0.270931664726426	0.1346	0.0451	8	25	38	0.473571428571429	0.275	149	0
YLR116W	1	48.7	0.0487	0.0113325	0.0923635042370855	0.557326890756302	0.968	0.007	24	19	16	0.276913043478261	0.196478260869565	203	0
YLR117C	1	21.2	0.154	0.2160775	0.421170816268492	0.139572052401747	0.1942	0.1923	7	9	2	0.385166666666667	0.249333333333333	123	0
YLR118C	0	26.7	0.0206	0.1803525	0.35997871676768	0.17964845814978	0.1313	0.0327	4	NA	11	0.341666666666667	0.187	102	1
YLR120C	1	46.2	0.0184	0.3521175	0.561575499128527	0.257944288224956	0.0117	0.0052	7	34	55	0.482166666666667	0.298833333333333	410	0
YLR121C	1	2.18	0.0702	0.095965	0.28694114410475	0.220435433070866	0.0285	0.0831	26	9	5	0.36572	0.26904	142	0
YLR128W	1	1.5	0.0165	0.063295	0.221305167476915	0.125837546468401	0.0647	0.1115	21	7	55	0.3115	0.22355	217	0
YLR129W	1	154	NA	NA	NA	0.19189586426299	0.2691	0.0625	1	21	23	NA	NA	143	0
YLR130C	0	8.18	0.0021	0.0735275	0.220007450301104	0.172256872037915	0.0058	0.0012	9	NA	8	0.213625	0.19725	42	1
YLR131C	0	10.5	0.3045	0.1413725	0.323115801583678	0.588777922077922	0.7776	0.236	7	11	NA	0.260833333333333	0.2165	73	1
YLR133W	1	66.4	0.0947	0.2310525	0.453582978091024	0.277561855670103	0.0573	0.0209	13	23	60	0.440666666666667	0.287416666666667	454	0
YLR134W	1	3961	0.5255	0.3766325	0.572458351332356	0.191139076376554	0.472	0.0571	3	2	24	0.3675	0.28	124	0
YLR135W	0	4.57	0.4316	0.480405	0.68815939707931	0.506435695187166	0.2148	0.1707	21	5	4	0.38365	0.29515	154	0
YLR136C	1	3.26	0.4946	0.5494775	0.734755845242064	0.414865964912281	0.3109	0.0202	13	75	45	0.431666666666667	0.310333333333333	252	0
YLR138W	1	21.9	0.1034	0.0418825	0.1726706979929	0.409117766497462	0.5451	0.0477	14	3	11	0.223538461538462	0.203	65	0
YLR139C	1	34.9	0.0127	0.26904	0.454880529883737	0.267345567651633	0.0744	0.1658	2	42	7	0.263	0.143	161	0
YLR142W	0	7.7	NA	NA	NA	0.184318487394958	0.1166	0.3337	NA	4	NA	NA	NA	47	1
YLR144C	1	19.9	0.0042	0.0153975	0.113069016465147	0.239060590500642	0.0428	0.0078	37	17	9	0.277222222222222	0.224527777777778	287	0
YLR145W	0	6.96	0.0445	0.1955775	0.384400482182524	0.126412935323383	0.2878	0.0103	4	NA	6	0.263666666666667	0.252666666666667	63	1
YLR146C	0	38.6	NA	NA	NA	0.144903333333333	0.1134	0.0046	NA	3	10	NA	NA	85	1
YLR147C	1	3.77	NA	NA	NA	0.40080297029703	0.8588	0.1545	1	14	30	NA	NA	107	0
YLR148W	1	31.9	NA	NA	NA	0.102024509803922	0.2498	0.0419	1	18	6	NA	NA	135	0
YLR150W	1	1079	0.5265	0.321795	0.535381876684272	0.755368864468864	0.6056	0.0567	9	6	5	0.327125	0.251875	128	0
YLR151C	1	3.37	0.0864	0.2742575	0.505210822972907	0.144752941176471	0.0205	0.2764	16	6	32	0.371066666666667	0.289866666666667	265	0
YLR153C	1	2324	0.3392	0.274525	0.468268638126971	0.237346412884334	0.27	0.0207	3	2	11	0.3915	0.2965	260	0
YLR154C	0	7.38	0.038	0.24268	0.42520237235285	0.378801818181818	0.1798	0.0852	2	20	5	0.09	0.125	66	0
YLR163C	1	36	0.0965	0.11349	0.303792429103141	0.2985170995671	0.3512	0.0441	14	6	17	0.359230769230769	0.238846153846154	150	0
YLR164W	1	1.65	0.0388	0.059165	0.22350393133799	0.104233333333333	0.2512	0.0287	27	4	24	0.319153846153846	0.219461538461538	102	0
YLR165C	0	1.31	0.3234	0.4685875	0.659437909752809	0.267522440944882	0.1707	0.2933	4	2	6	0.512666666666667	0.384	80	0
YLR166C	0	38.3	0.0556	0.401535	0.598617574371056	0.156285878300804	0.0776	0.0138	3	15	NA	0.3975	0.3165	44	1
YLR167W	1	3002	0.0558	0.1330525	0.303644196432279	0.318903947368421	0.1408	0.0118	5	12	2	0.27025	0.228	49	0
YLR168C	0	33.8	0.0077	0.01036	0.0898505178372483	0.247318695652174	0.3103	0.0121	30	6	NA	0.234344827586207	0.197827586206897	124	1
YLR170C	1	53.6	0.36	0.4194725	0.61121315182035	0.0970884615384615	0.3153	0.2681	3	15	17	0.333	0.3175	253	0
YLR172C	1	138	0.9457	0.358525	0.552064543264296	0.206238	0.6978	0.0716	2	18	9	0.394	0.361	68	0
YLR174W	0	52.9	0.2567	0.3486075	0.561966987910494	0.211675	0.2118	0.0093	7	27	5	0.387666666666667	0.255666666666667	84	0
YLR175W	1	462	0.5246	0.04503	0.171474328091586	0.306369358178054	0.6281	0.1495	11	24	26	0.268	0.1839	124	0
YLR178C	0	28.1	0.0028	0.00623	0.0669908363634814	0.360639726027397	0.1495	0.0024	13	NA	NA	0.145416666666667	0.152	53	1
YLR179C	1	183	0.1675	0.31092	0.534228223301608	0.261916915422886	0.1498	0.0648	11	8	22	0.3945	0.2528	93	0
YLR180W	1	2426	0.011	0.024275	0.143992778742705	0.260570942408377	0.217	0.0064	42	68	31	0.310731707317073	0.209975609756098	249	0
YLR181C	1	62.5	0.1752	0.276815	0.47228345614087	0.374769393939394	0.3493	0.0528	3	11	2	0.242	0.243	100	0
YLR182W	1	41.1	0.2972	0.2481225	0.453437864843894	0.449888169364882	0.5231	0.0058	8	21	4	0.316571428571429	0.214285714285714	122	0
YLR183C	1	5.4	0.2384	0.213505	0.441786412537279	0.420628016359918	0.3014	0.2405	24	9	15	0.354652173913043	0.269826086956522	149	0
YLR185W	1	567	0.2395	0.114935	0.269445942471867	0.532411363636364	0.5564	0.2041	4	20	11	0.141666666666667	0.156666666666667	98	0
YLR186W	0	368	0.0042	0.0317825	0.144609331945967	0.232360317460317	0.0455	0.009	11	19	3	0.24	0.164	61	0
YLR188W	1	27.9	0.1153	0.1280075	0.327415116216565	0.172616978417266	0.2947	0.0462	22	37	39	0.370666666666667	0.24247619047619	139	0
YLR189C	1	6.73	0.2371	0.2593325	0.483861973010336	0.277377712854758	0.4274	0.0516	12	9	15	0.398363636363636	0.283545454545455	128	0
YLR190W	1	14.8	0.4791	0.2236425	0.432062864270726	0.554774745417515	0.5806	0.0427	8	21	7	0.349428571428571	0.262	407	0
YLR191W	1	69.2	0.044	0.0264775	0.141706914571196	0.328336787564767	0.5661	0.0983	17	14	21	0.2180625	0.197625	75	0
YLR192C	1	267	0.0127	0.01965	0.121164981279068	0.569169811320755	0.3624	0.0123	18	56	9	0.262235294117647	0.184	233	0
YLR193C	1	12.9	0.2911	0.2406475	0.471835129037954	0.282661142857143	0.3162	0.165	17	8	5	0.35225	0.2658125	165	0
YLR195C	0	22.6	NA	NA	NA	0.173873846153846	0.2114	0.0692	NA	9	3	NA	NA	70	1
YLR196W	1	500	0.606	0.2821825	0.497135107874338	0.419953993055556	0.92	0.2237	7	4	27	0.4575	0.296333333333333	127	0
YLR197W	1	612	0.6822	0.4660175	0.658087481852191	0.261438293650794	0.6348	0.0243	4	39	8	0.678	0.407	187	0
YLR199C	1	36.3	0.0351	0.2733625	0.488931828416222	0.214728623188406	0.037	0.0542	8	23	12	0.382571428571429	0.235714285714286	146	0
YLR200W	0	34.1	NA	NA	NA	0.45525	0.6704	0.3864	NA	17	NA	NA	NA	128	1
YLR203C	0	117	NA	NA	NA	0.231464449541284	0.2207	0.3312	NA	NA	NA	NA	NA	10	1
YLR204W	1	2.95	NA	NA	NA	0.579634234234234	0.8886	0.0133	1	4	23	NA	NA	147	0
YLR205C	1	1.94	0.0069	0.2894375	0.506265179723543	0.103758359621451	0.0012	0.0081	7	15	3	0.4185	0.327833333333333	60	0
YLR207W	0	3.28	NA	NA	NA	0.227692917166867	0.2386	0.051	NA	5	13	NA	NA	59	1
YLR208W	1	278	0.349	0.27257	0.483112526835068	0.255802356902357	0.4691	0.0894	6	8	28	0.3708	0.2536	271	0
YLR209C	1	24.8	0.0186	0.19438	0.36791745033584	0.279599356913183	0.1722	0.0046	3	5	21	0.195	0.147	184	0
YLR210W	0	2	0.0068	0.031325	0.156018082968108	0.244569565217391	0.0778	0.0063	23	5	NA	0.246363636363636	0.207227272727273	174	1
YLR212C	1	77.4	NA	NA	NA	0.295043763213531	0.4716	0.0201	1	14	18	NA	NA	146	0
YLR213C	1	1.16	0.3634	0.4690975	0.65861208613239	0.254239573459716	0.2493	0.0782	4	33	26	0.681	0.335333333333333	143	0
YLR214W	1	18.3	0.0084	0.01449	0.101845817267394	0.0895260932944606	0.2479	0.0103	20	29	5	0.235894736842105	0.174473684210526	132	0
YLR215C	0	47.7	0.8421	0.24268	0.42520237235285	0.239535	0.8292	0.0432	2	NA	7	0.09	0.125	104	1
YLR216C	1	581	0.0041	0.0184375	0.110587135177729	0.279713746630728	0.4099	0.0226	11	22	14	0.1809	0.1549	111	0
YLR219W	1	18.1	0.1714	0.0532225	0.201950610681542	0.707667445054945	0.4756	0.0187	18	14	12	0.328823529411765	0.223647058823529	160	0
YLR220W	0	37.1	0.0017	0.26904	0.454880529883737	0.232099378881988	0.0042	0.0037	2	4	NA	0.263	0.143	182	1
YLR221C	1	48.8	0.1928	0.1501625	0.322496465395938	0.502584090909091	0.323	0.0043	5	27	39	0.267	0.21625	201	0
YLR222C	1	115	0.0428	0.306825	0.517509875723056	0.183953977968176	0.0143	0.0224	7	10	3	0.488833333333333	0.254833333333333	97	0
YLR226W	1	36.7	0.6906	0.3488	0.542362545322007	0.177616455696203	0.6149	0.1034	2	20	14	0.588	0.446	512	0
YLR227C	0	1.16	0.3872	0.3600675	0.553524870763015	0.0929553752535497	0.3344	0.0089	2	35	11	0.401	0.272	147	0
YLR228C	1	3.78	0.0072	0.1212775	0.284850783828617	0.436862776412776	0.086	0.0073	5	18	24	0.22125	0.208	218	0
YLR229C	0	29.5	0.064	0.2694775	0.463500514698767	0.144637696335079	0.1027	0.0088	3	14	NA	0.413	0.2325	89	1
YLR231C	1	39.9	0.3249	0.3533125	0.545728731775002	0.177766445916115	0.1016	0.0084	2	4	17	0.713	0.278	81	0
